证券代码,证券简称,行业名称,2018,2019,2020,收入增长率_2018_2020
000045,深纺织A,计算机、通信和其他电子设备制造业,12.72,21.58,21.09,0.6580188679245282
000011,深物业A,房地产业,27.87,39.62,41.04,0.472551130247578
000030,富奥股份,汽车制造业,78.53,100.64,111.13,0.41512797656946376
000002,万科A,房地产业,2976.79,3678.94,4191.12,0.4079327060356961
000400,许继电气,电气机械及器材制造业,82.17,101.56,111.91,0.3619325788000487
000338,潍柴动力,汽车制造业,1592.56,1743.61,1974.91,0.240085145928568
000555,神州信息,软件和信息技术服务业,90.77,101.46,106.86,0.17726120965076575
000550,江铃汽车,汽车制造业,282.49,291.74,330.96,0.17158129491309415
000006,深振业A,房地产业,25.12,37.31,29.35,0.16839171974522293
000049,德赛电池,电气机械及器材制造业,172.49,184.43,193.98,0.12458693257580133
000153,丰原药业,医药制造业,30.13,32.38,33.21,0.10222369731164949
000333,美的集团,电气机械及器材制造业,2596.65,2782.16,2842.21,0.09456800107831231
000016,深康佳A,计算机、通信和其他电子设备制造业,461.27,551.19,503.52,0.09159494439265514
000020,深华发A,计算机、通信和其他电子设备制造业,6.37,7.22,6.92,0.08634222919937207
000014,沙河股份,房地产业,3.58,4.38,3.47,-0.030726256983240163
000559,万向钱潮,汽车制造业,113.62,105.81,108.82,-0.04224608343601488
000638,万方发展,软件和信息技术服务业,1.19,1.16,1.11,-0.0672268907563024
000021,深科技,计算机、通信和其他电子设备制造业,160.61,132.24,149.67,-0.0681153103791795
000070,特发信息,电气机械及器材制造业,57.06,43.28,47.22,-0.17245005257623558
000423,东阿阿胶,医药制造业,73.38,29.59,34.09,-0.5354319978195693
000004,国农科技,医药制造业,3.67,,,
000004,国农科技,软件和信息技术服务业,,1.08,,
000004,国华网安,软件和信息技术服务业,,,2.81,
000403,双林生物,医药制造业,,9.16,,
000403,振兴生化,医药制造业,8.6,,,
000403,派林生物,医药制造业,,,10.5,
000682,东方电子,电气机械及器材制造业,30.42,,,
000682,东方电子,软件和信息技术服务业,,34.19,37.19,
